Score,AUC,Precision,Recall,F1
Momentum only,0.8906666666666667,0.9847328244274808,0.86,0.9181494661921707
Momentum + divergence,0.928,0.9923076923076924,0.86,0.9214285714285714
Full PHS,0.908,0.9849624060150376,0.8733333333333333,0.9257950530035336
